block,clock,emarc_mean_kw,sharp_mean_kw,emarc_normalised,sharp_normalised
33,08:15,0.1707907779610023,0.19536269476044435,0.9880041305959032,1.0444469529334433
34,08:30,0.16714659719901664,0.1656885839950465,0.9669229827232583,0.8858033868834702
35,08:45,0.16363784432526243,0.18275508764857074,0.94662526891285,0.9770442338630234
36,09:00,0.16090210343566694,0.16391011765002644,0.9307993365561414,0.8762953599941576
37,09:15,0.1560899296157771,0.18078049061746818,0.9029614891737597,0.9664876541898397
38,09:30,0.15444151543267562,0.1759779725217231,0.8934256111756571,0.9408124586380006
39,09:45,0.15203771133226338,0.19260316538026065,0.8795198932633413,1.0296939722981313
40,10:00,0.15073067548751606,0.17914165622805467,0.8719588479372166,0.9577261268855387
41,10:15,0.14799471599476005,0.16453701065281728,0.8561316509874888,0.8796468518815063
42,10:30,0.14351203550066746,0.1756291366081645,0.8301998829073852,0.9389475140157083
43,10:45,0.14206475281751973,0.18064818916159803,0.8218275264712762,0.9657803448817772
44,11:00,0.14012443418727163,0.18671109329001606,0.8106030163177184,0.9981938092364671
45,11:15,0.1391543763074944,0.17072258336384483,0.8049913480322336,0.9127161263307705
46,11:30,0.14125221564796925,0.1982912835338362,0.8171270965688965,1.0601037579571193
47,11:45,0.14337195244837347,0.19236032800858172,0.8293895192803483,1.0283957164913131
48,12:00,0.1475964660674702,0.20152335458185497,0.8538278230064386,1.0773830382306995
49,12:15,0.1503432083485379,0.1940844844832854,0.8697173970910356,1.037613392253786
50,12:30,0.15096092306878103,0.20789050834214537,0.8732908025314011,1.111423080276334
51,12:45,0.15437477508411265,0.20194666059987212,0.8930395262778374,1.079646114511555
52,13:00,0.15406051201267926,0.20280503895035898,0.8912215521671929,1.0842351720781973
53,13:15,0.15298380904383382,0.2050495718898233,0.8849929548544793,1.0962348816044036
54,13:30,0.1520225588680427,0.20915090666762254,0.8794322380783397,1.1181614147989063
55,13:45,0.15126327754363356,0.20508919416117896,0.8750398868416012,1.096446709971311
56,14:00,0.1518913743936153,0.2078223942361741,0.8786733516551284,1.1110589290215578
57,14:15,0.15041761412512356,0.20174150408653915,0.8701478255689924,1.0785493079002018
58,14:30,0.14942063428652225,0.20322377239916156,0.8643804169862886,1.0864738025149316
59,14:45,0.1491987037856837,0.19227785907838632,0.8630965757031032,1.0279548215550516
60,15:00,0.15034788510032726,0.18663036466750724,0.8697444515382418,0.9977622183234873
61,15:15,0.15059886931206082,0.17585337177200594,0.8711963650482543,0.940146318802374
62,15:30,0.14789649728961368,0.18024260323364089,0.8555634675788474,0.963612003647915
63,15:45,0.14691327565542894,0.17265666417359982,0.8498756485556939,0.9230560984065685
64,16:00,0.14703180567031668,0.17091080542023893,0.8505613304508569,0.9137223980425563
65,16:15,0.14732449177063292,0.1566118654711275,0.8522544843759856,0.837277484757855
66,16:30,0.15021708179331172,0.18292894385565717,0.8689877701227121,0.9779737029510838
67,16:45,0.15271323698151315,0.15347610589492858,0.8834277279822315,0.8205131043396344
68,17:00,0.15558357260380698,0.16310456533182047,0.9000322746965184,0.8719887206676967
69,17:15,0.15973539014919555,0.13990862183079877,0.9240500403703833,0.7479786964419063
70,17:30,0.16366085910801997,0.17168073310598636,0.9467584066659576,0.9178385811569634
71,17:45,0.16938250470700048,0.16430218054636303,0.9798574390205581,0.878391404471529
72,18:00,0.17752739664174413,0.17262215492363797,1.0269746602830636,0.9228716052462194
73,18:15,0.18336895041913376,0.2430943682228963,1.0607673470432168,1.29962976031334
74,18:30,0.19165593498306863,0.25659171856024526,1.1087065570936663,1.3717892196707444
75,18:45,0.2000748114014992,0.23095003775067655,1.157408745676033,1.2347038082390196
76,19:00,0.2078569172274586,0.3181064740029373,1.2024272928866906,1.7006590633292191
77,19:15,0.2119148686929753,0.30113924093643396,1.2259020545661745,1.6099489362102668
78,19:30,0.21395708913352157,0.30264628939189064,1.2377160544491648,1.6180059102868933
79,19:45,0.21754275743692345,0.2877967463090507,1.2584587147789676,1.5386173655888178
80,20:00,0.22050067568855114,0.2974017629131696,1.2755699164812075,1.5899676519746007
81,20:15,0.22211844927842594,0.2933344235076976,1.2849285423288528,1.568222864650693
82,20:30,0.22461551708625918,0.28404993811931784,1.2993737795832943,1.518586200469033
83,20:45,0.22680610390754033,0.2900006509309772,1.3120460611531393,1.550399868229609
84,21:00,0.22770599322292417,0.2816975375567761,1.3172518127241133,1.5060098096558412
85,21:15,0.22861859569223228,0.2839767415196149,1.3225311083630986,1.518194877214516
86,21:30,0.2272962140530218,0.2757161217439816,1.3148812894597475,1.4740319976812386
87,21:45,0.22536578271011878,0.2770851384602582,1.3037139760755583,1.481351027241019
88,22:00,0.21690161747511866,0.13281678081755463,1.254749797130628,0.710064335432227
89,22:15,0.20914415116401813,0.1316240819693042,1.2098737865530782,0.7036879354785414
90,22:30,0.20340549338976188,0.12618657342751177,1.1766763408084604,0.67461795753322
91,22:45,0.19944151409112656,0.12448295639541378,1.1537451968239614,0.6655100896246507
92,23:00,0.1945052154386139,0.12444310303384717,1.1251893021980166,0.665297025804542
93,23:15,0.18959782104692655,0.12670556904913996,1.0968006152482015,0.6773926090410733
94,23:30,0.18419029072593157,0.12631795434362983,1.0655187020369066,0.6753203454567761
95,23:45,0.18007323034526704,0.12728913707626682,1.0417020023850196,0.6805124771843205
